70600;0;ETC
70600;1;ETC
71340;1;ETC
71340;0;ETC
82160;0;ETC
82160;1;ETC
82850;1;ETC
82850;0;ETC
148700;0;ETC
148700;1;ETC
149330;1;ETC
149330;0;ETC
160040;0;ETC
160040;1;ETC
160810;1;ETC
160810;0;ETC
245520;0;ETC
245520;1;ETC
246300;1;ETC
246300;0;ETC
257160;0;ETC
257160;1;ETC
257790;1;ETC
257790;0;ETC
323560;0;ETC
323560;1;ETC
324260;1;ETC
324260;0;ETC
335040;0;ETC
335040;1;ETC
335780;1;ETC
335780;0;ETC
420480;0;ETC
420480;1;ETC
421270;1;ETC
421270;0;ETC
498460;0;ETC
498460;1;ETC
499210;1;ETC
499210;0;ETC
510080;0;ETC
510080;1;ETC
510760;1;ETC
510760;0;ETC
595440;0;ETC
595440;1;ETC
596230;1;ETC
596230;0;ETC
673380;0;ETC
673380;1;ETC
674160;1;ETC
674160;0;ETC
758980;0;ETC
758980;1;ETC
759640;1;ETC
759640;0;ETC
770420;0;ETC
770420;1;ETC
771180;1;ETC
771180;0;ETC
848340;0;ETC
848340;1;ETC
849130;1;ETC
849130;0;ETC
933880;0;ETC
933880;1;ETC
934610;1;ETC
934610;0;ETC
945420;0;ETC
945420;1;ETC
946130;1;ETC
946130;0;ETC
1012000;0;ETC
1012000;1;ETC
1012610;1;ETC
1012610;0;ETC
1023300;0;ETC
1023300;1;ETC
1024080;1;ETC
1024080;0;ETC
